profesor_correo,alumno_expediente
kevinmoore0@university.com,100030
kevinmoore0@university.com,100005
kevinmoore0@university.com,100039
kevinmoore0@university.com,100073
kevinmoore0@university.com,100026
kevinmoore0@university.com,100091
kevinmoore0@university.com,100056
jamesthompson1@university.com,100086
jamesthompson1@university.com,100006
jamesthompson1@university.com,100077
jamesthompson1@university.com,100063
jamesthompson1@university.com,100008
jamesthompson1@university.com,100075
alextaylor2@university.com,100047
alextaylor2@university.com,100086
alextaylor2@university.com,100068
alextaylor2@university.com,100024
alexbrown3@university.com,100018
alexbrown3@university.com,100004
alexbrown3@university.com,100045
alexbrown3@university.com,100075
alexbrown3@university.com,100062
alexbrown3@university.com,100092
alexbrown3@university.com,100024
alexbrown3@university.com,100096
robertdavis4@university.com,100089
robertdavis4@university.com,100011
robertdavis4@university.com,100045
robertdavis4@university.com,100054
robertdavis4@university.com,100025
robertdavis4@university.com,100030
robertdavis4@university.com,100007
robertdavis4@university.com,100082
karenwhite5@university.com,100096
karenwhite5@university.com,100056
karenwhite5@university.com,100033
karenwhite5@university.com,100095
karenwhite5@university.com,100078
karenwhite5@university.com,100001
karenwhite5@university.com,100017
karenwhite5@university.com,100023
thomaswhite6@university.com,100033
thomaswhite6@university.com,100077
thomaswhite6@university.com,100059
thomaswhite6@university.com,100058
thomaswhite6@university.com,100034
markwilson7@university.com,100034
markwilson7@university.com,100026
markwilson7@university.com,100007
markwilson7@university.com,100054
markwilson7@university.com,100022
markwilson7@university.com,100076
markwilson7@university.com,100087
markwilson7@university.com,100095
markwilson7@university.com,100039
alexbrown8@university.com,100064
alexbrown8@university.com,100058
alexbrown8@university.com,100080
alexbrown8@university.com,100014
alexbrown8@university.com,100079
alexbrown8@university.com,100054
alexbrown8@university.com,100019
davidmiller9@university.com,100030
davidmiller9@university.com,100047
davidmiller9@university.com,100083
davidmiller9@university.com,100014
davidmiller9@university.com,100086
davidmiller9@university.com,100056
davidmiller9@university.com,100033
davidmiller9@university.com,100078
davidmiller9@university.com,100073
alexthomas10@university.com,100058
alexthomas10@university.com,100056
alexthomas10@university.com,100021
alexthomas10@university.com,100083
alexthomas10@university.com,100095
alexthomas10@university.com,100070
jenniferanderson11@university.com,100032
jenniferanderson11@university.com,100046
jenniferanderson11@university.com,100071
jenniferanderson11@university.com,100022
jenniferanderson11@university.com,100077
jenniferanderson11@university.com,100034
jenniferanderson11@university.com,100084
samdavis12@university.com,100061
samdavis12@university.com,100072
samdavis12@university.com,100009
samdavis12@university.com,100049
samdavis12@university.com,100084
samdavis12@university.com,100078
samdavis12@university.com,100085
samdavis12@university.com,100088
samdavis12@university.com,100033
samdavis12@university.com,100091
lisajackson13@university.com,100002
lisajackson13@university.com,100000
lisajackson13@university.com,100040
lisajackson13@university.com,100086
emilywhite14@university.com,100015
emilywhite14@university.com,100052
emilywhite14@university.com,100032
emilywhite14@university.com,100035
markgarcia15@university.com,100026
markgarcia15@university.com,100010
markgarcia15@university.com,100062
markgarcia15@university.com,100000
markgarcia15@university.com,100038
markgarcia15@university.com,100076
markgarcia15@university.com,100004
markgarcia15@university.com,100097
markgarcia15@university.com,100003
johnmiller16@university.com,100094
johnmiller16@university.com,100060
johnmiller16@university.com,100083
davidlewis17@university.com,100061
davidlewis17@university.com,100017
davidlewis17@university.com,100073
jamestaylor18@university.com,100027
jamestaylor18@university.com,100062
jamestaylor18@university.com,100051
jamestaylor18@university.com,100053
jamestaylor18@university.com,100020
samtaylor19@university.com,100009
samtaylor19@university.com,100062
samtaylor19@university.com,100094
samtaylor19@university.com,100077
alexanderson20@university.com,100035
alexanderson20@university.com,100065
alexanderson20@university.com,100021
alexanderson20@university.com,100076
alexanderson20@university.com,100014
alexanderson20@university.com,100063
alexanderson20@university.com,100019
sarahgarcia21@university.com,100064
sarahgarcia21@university.com,100095
sarahgarcia21@university.com,100098
sarahgarcia21@university.com,100067
sarahgarcia21@university.com,100003
sarahgarcia21@university.com,100017
sarahgarcia21@university.com,100066
sarahgarcia21@university.com,100061
sarahgarcia21@university.com,100034
thomasdavis22@university.com,100091
thomasdavis22@university.com,100011
thomasdavis22@university.com,100095
thomasdavis22@university.com,100084
thomasdavis22@university.com,100062
jenniferwalker23@university.com,100045
jenniferwalker23@university.com,100076
jenniferwalker23@university.com,100098
jenniferwalker23@university.com,100089
jenniferwalker23@university.com,100065
jenniferwalker23@university.com,100026
jenniferwalker23@university.com,100018
lindawilson24@university.com,100016
lindawilson24@university.com,100007
lindawilson24@university.com,100084
lindawilson24@university.com,100046
lindawilson24@university.com,100035
lindawilson24@university.com,100029
lindawilson24@university.com,100061
lindawilson24@university.com,100000
lisalee25@university.com,100048
lisalee25@university.com,100007
lisalee25@university.com,100035
lisalee25@university.com,100018
lisalee25@university.com,100088
lisalee25@university.com,100049
lisalee25@university.com,100074
lisalee25@university.com,100065
lisalee25@university.com,100031
lisalee25@university.com,100058
robertthompson26@university.com,100048
robertthompson26@university.com,100077
robertthompson26@university.com,100002
robertthompson26@university.com,100018
robertthompson26@university.com,100035
robertthompson26@university.com,100080
lauramoore27@university.com,100096
lauramoore27@university.com,100070
lauramoore27@university.com,100040
lauramoore27@university.com,100068
lauramoore27@university.com,100019
lauramoore27@university.com,100063
lauramoore27@university.com,100001
lauramoore27@university.com,100018
lauramoore27@university.com,100028
lauramoore27@university.com,100021
lisataylor28@university.com,100073
lisataylor28@university.com,100011
lisataylor28@university.com,100084
jasonsmith29@university.com,100073
jasonsmith29@university.com,100007
jasonsmith29@university.com,100009
michaeljackson30@university.com,100057
michaeljackson30@university.com,100064
michaeljackson30@university.com,100096
michaeljackson30@university.com,100020
michaeljackson30@university.com,100098
michaeljackson30@university.com,100030
michaeljackson30@university.com,100011
michaeljackson30@university.com,100089
johnbrown31@university.com,100062
johnbrown31@university.com,100019
johnbrown31@university.com,100077
johnbrown31@university.com,100081
lindasmith32@university.com,100078
lindasmith32@university.com,100010
lindasmith32@university.com,100098
lindasmith32@university.com,100035
lindasmith32@university.com,100005
lindasmith32@university.com,100014
lindasmith32@university.com,100048
lindasmith32@university.com,100039
sarahtaylor33@university.com,100085
sarahtaylor33@university.com,100060
sarahtaylor33@university.com,100080
sarahtaylor33@university.com,100038
sarahtaylor33@university.com,100093
sarahtaylor33@university.com,100094
sarahtaylor33@university.com,100007
sarahtaylor33@university.com,100045
sarahtaylor33@university.com,100016
lindajackson34@university.com,100088
lindajackson34@university.com,100091
lindajackson34@university.com,100082
lindajackson34@university.com,100087
davidlewis35@university.com,100058
davidlewis35@university.com,100034
davidlewis35@university.com,100026
brianwhite36@university.com,100076
brianwhite36@university.com,100083
brianwhite36@university.com,100036
brianwhite36@university.com,100071
brianwhite36@university.com,100087
brianwhite36@university.com,100044
karenclark37@university.com,100053
karenclark37@university.com,100092
karenclark37@university.com,100050
karenclark37@university.com,100014
karenclark37@university.com,100054
karenclark37@university.com,100071
karentaylor38@university.com,100079
karentaylor38@university.com,100048
karentaylor38@university.com,100093
lindaclark39@university.com,100062
lindaclark39@university.com,100083
lindaclark39@university.com,100080
lindaclark39@university.com,100056
lindaclark39@university.com,100028
lindaclark39@university.com,100025
lindaclark39@university.com,100078
lindaclark39@university.com,100084
lindaclark39@university.com,100034
lindaclark39@university.com,100046
karenharris40@university.com,100035
karenharris40@university.com,100059
karenharris40@university.com,100056
karenharris40@university.com,100024
karenharris40@university.com,100043
karenharris40@university.com,100002
karenharris40@university.com,100034
markwhite41@university.com,100054
markwhite41@university.com,100075
markwhite41@university.com,100094
thomaswilson42@university.com,100021
thomaswilson42@university.com,100027
thomaswilson42@university.com,100088
thomaswilson42@university.com,100030
thomaswilson42@university.com,100029
thomaswilson42@university.com,100016
thomaswilson42@university.com,100087
thomaswilson42@university.com,100026
johnlewis43@university.com,100029
johnlewis43@university.com,100005
johnlewis43@university.com,100046
johnlewis43@university.com,100064
johnlewis43@university.com,100061
johnlewis43@university.com,100027
johnlewis43@university.com,100084
johnlewis43@university.com,100002
alexmartin44@university.com,100047
alexmartin44@university.com,100065
alexmartin44@university.com,100000
alexmartin44@university.com,100054
alexmartin44@university.com,100034
alexmartin44@university.com,100038
alexmartin44@university.com,100099
jennifermoore45@university.com,100002
jennifermoore45@university.com,100061
jennifermoore45@university.com,100042
jennifermoore45@university.com,100090
jennifermoore45@university.com,100072
jennifermoore45@university.com,100060
jennifermoore45@university.com,100034
jennifermoore45@university.com,100063
jennifermoore45@university.com,100035
jasongarcia46@university.com,100004
jasongarcia46@university.com,100085
jasongarcia46@university.com,100051
jasongarcia46@university.com,100017
jasongarcia46@university.com,100022
jasongarcia46@university.com,100047
jasongarcia46@university.com,100008
lindawalker47@university.com,100079
lindawalker47@university.com,100018
lindawalker47@university.com,100021
lindawalker47@university.com,100088
lindawalker47@university.com,100077
lindawalker47@university.com,100033
lindawalker47@university.com,100047
lindawalker47@university.com,100025
jameslewis48@university.com,100056
jameslewis48@university.com,100008
jameslewis48@university.com,100072
jameslewis48@university.com,100049
jameslewis48@university.com,100055
jameslewis48@university.com,100030
jameslewis48@university.com,100083
jameslewis48@university.com,100052
jamesbrown49@university.com,100083
jamesbrown49@university.com,100025
jamesbrown49@university.com,100027
jamesbrown49@university.com,100004
jamesbrown49@university.com,100084
jamesbrown49@university.com,100076
jamesbrown49@university.com,100050
jamesbrown49@university.com,100065
kevinmoore50@university.com,100021
kevinmoore50@university.com,100053
kevinmoore50@university.com,100076
kevinmoore50@university.com,100098
kevinmoore50@university.com,100001
kevinmoore50@university.com,100024
kevinmoore50@university.com,100039
kevinmoore50@university.com,100023
kevinmoore50@university.com,100090
kevinmoore50@university.com,100013
jamesjohnson51@university.com,100036
jamesjohnson51@university.com,100046
jamesjohnson51@university.com,100070
brianwalker52@university.com,100034
brianwalker52@university.com,100025
brianwalker52@university.com,100049
brianwalker52@university.com,100054
brianwalker52@university.com,100022
brianwalker52@university.com,100081
brianwalker52@university.com,100056
sarahsmith53@university.com,100000
sarahsmith53@university.com,100022
sarahsmith53@university.com,100097
sarahsmith53@university.com,100009
sarahsmith53@university.com,100074
sarahsmith53@university.com,100064
jasonmiller54@university.com,100018
jasonmiller54@university.com,100067
jasonmiller54@university.com,100088
jasonmiller54@university.com,100042
jasonmiller54@university.com,100007
jasonmiller54@university.com,100097
jasonmiller54@university.com,100084
jamesdavis55@university.com,100000
jamesdavis55@university.com,100035
jamesdavis55@university.com,100014
jamesdavis55@university.com,100056
jamesdavis55@university.com,100071
jamesdavis55@university.com,100075
lisasmith56@university.com,100044
lisasmith56@university.com,100081
lisasmith56@university.com,100010
lisasmith56@university.com,100091
lisasmith56@university.com,100049
lisasmith56@university.com,100053
lisasmith56@university.com,100012
lisasmith56@university.com,100087
lisasmith56@university.com,100000
lisasmith56@university.com,100098
sarahjohnson57@university.com,100082
sarahjohnson57@university.com,100088
sarahjohnson57@university.com,100066
lisataylor58@university.com,100098
lisataylor58@university.com,100066
lisataylor58@university.com,100085
lisataylor58@university.com,100089
lisataylor58@university.com,100019
lisataylor58@university.com,100068
lisataylor58@university.com,100022
robertbrown59@university.com,100062
robertbrown59@university.com,100078
robertbrown59@university.com,100009
robertbrown59@university.com,100075
robertbrown59@university.com,100032
robertbrown59@university.com,100014
robertbrown59@university.com,100019
robertbrown59@university.com,100055
robertbrown59@university.com,100049
karenbrown60@university.com,100024
karenbrown60@university.com,100014
karenbrown60@university.com,100022
karenbrown60@university.com,100094
karenbrown60@university.com,100057
karenbrown60@university.com,100021
karenbrown60@university.com,100047
markanderson61@university.com,100075
markanderson61@university.com,100033
markanderson61@university.com,100084
markanderson61@university.com,100041
lindawalker62@university.com,100004
lindawalker62@university.com,100034
lindawalker62@university.com,100006
lindawalker62@university.com,100019
lindawalker62@university.com,100042
lindawalker62@university.com,100076
lindawalker62@university.com,100065
lindawalker62@university.com,100003
marktaylor63@university.com,100083
marktaylor63@university.com,100033
marktaylor63@university.com,100019
marktaylor63@university.com,100089
marktaylor63@university.com,100065
marktaylor63@university.com,100039
danielclark64@university.com,100051
danielclark64@university.com,100018
danielclark64@university.com,100034
danielclark64@university.com,100059
danielclark64@university.com,100023
danielclark64@university.com,100074
danielclark64@university.com,100036
kevinanderson65@university.com,100078
kevinanderson65@university.com,100068
kevinanderson65@university.com,100093
kevinanderson65@university.com,100002
kevinanderson65@university.com,100026
kevinanderson65@university.com,100060
jameswilson66@university.com,100070
jameswilson66@university.com,100019
jameswilson66@university.com,100003
jameswilson66@university.com,100059
jameswilson66@university.com,100062
jameswilson66@university.com,100040
brianbrown67@university.com,100057
brianbrown67@university.com,100063
brianbrown67@university.com,100064
brianbrown67@university.com,100014
brianbrown67@university.com,100096
brianbrown67@university.com,100097
brianbrown67@university.com,100012
brianbrown67@university.com,100008
brianbrown67@university.com,100041
brianbrown67@university.com,100076
kevinwhite68@university.com,100010
kevinwhite68@university.com,100045
kevinwhite68@university.com,100096
kevinwhite68@university.com,100048
kevinwhite68@university.com,100085
kevinwhite68@university.com,100047
michaelbrown69@university.com,100088
michaelbrown69@university.com,100070
michaelbrown69@university.com,100049
michaelbrown69@university.com,100035
michaelbrown69@university.com,100017
michaelbrown69@university.com,100083
michaelbrown69@university.com,100038
johnwalker70@university.com,100040
johnwalker70@university.com,100012
johnwalker70@university.com,100088
johnwalker70@university.com,100067
johnwalker70@university.com,100077
johnwalker70@university.com,100046
johnwalker70@university.com,100086
johnwalker70@university.com,100076
kevinwilson71@university.com,100061
kevinwilson71@university.com,100014
kevinwilson71@university.com,100064
kevinwilson71@university.com,100062
kevinwilson71@university.com,100008
kevinwilson71@university.com,100055
kevinwilson71@university.com,100021
robertdavis72@university.com,100008
robertdavis72@university.com,100041
robertdavis72@university.com,100034
robertdavis72@university.com,100075
robertdavis72@university.com,100058
robertdavis72@university.com,100091
robertdavis72@university.com,100021
robertdavis72@university.com,100074
robertdavis72@university.com,100047
robertdavis72@university.com,100069
michaelwalker73@university.com,100014
michaelwalker73@university.com,100090
michaelwalker73@university.com,100083
jasonwilson74@university.com,100062
jasonwilson74@university.com,100009
jasonwilson74@university.com,100032
jasonwilson74@university.com,100059
jasonwilson74@university.com,100055
jasonwilson74@university.com,100085
jasonwilson74@university.com,100015
jasonwilson74@university.com,100002
brianlewis75@university.com,100090
brianlewis75@university.com,100002
brianlewis75@university.com,100065
brianlewis75@university.com,100020
jenniferthomas76@university.com,100018
jenniferthomas76@university.com,100032
jenniferthomas76@university.com,100078
jenniferthomas76@university.com,100006
jenniferthomas76@university.com,100045
jenniferthomas76@university.com,100075
jenniferthomas76@university.com,100066
jenniferthomas76@university.com,100014
jenniferthomas76@university.com,100029
jenniferthomas76@university.com,100056
jennifermiller77@university.com,100099
jennifermiller77@university.com,100039
jennifermiller77@university.com,100091
jennifermiller77@university.com,100060
jennifermiller77@university.com,100084
jennifermiller77@university.com,100089
jennifermiller77@university.com,100033
jennifermiller77@university.com,100009
michaeljackson78@university.com,100022
michaeljackson78@university.com,100095
michaeljackson78@university.com,100017
michaeljackson78@university.com,100011
michaeljackson78@university.com,100098
michaeljackson78@university.com,100071
lisathomas79@university.com,100052
lisathomas79@university.com,100041
lisathomas79@university.com,100084
lisathomas79@university.com,100024
lisathomas79@university.com,100016
lisathomas79@university.com,100074
lisathomas79@university.com,100089
robertlewis80@university.com,100026
robertlewis80@university.com,100007
robertlewis80@university.com,100046
jamesmiller81@university.com,100056
jamesmiller81@university.com,100084
jamesmiller81@university.com,100065
jamesmiller81@university.com,100036
jamesmiller81@university.com,100044
jamesmiller81@university.com,100016
jamesmiller81@university.com,100003
jasongarcia82@university.com,100061
jasongarcia82@university.com,100012
jasongarcia82@university.com,100050
jasongarcia82@university.com,100086
jasongarcia82@university.com,100043
jasongarcia82@university.com,100066
jasongarcia82@university.com,100028
jasongarcia82@university.com,100004
kevintaylor83@university.com,100093
kevintaylor83@university.com,100076
kevintaylor83@university.com,100023
kevintaylor83@university.com,100047
kevintaylor83@university.com,100020
jenniferthompson84@university.com,100019
jenniferthompson84@university.com,100004
jenniferthompson84@university.com,100055
jenniferthompson84@university.com,100059
jenniferthompson84@university.com,100098
jenniferthompson84@university.com,100025
jenniferthompson84@university.com,100037
jenniferthompson84@university.com,100022
jenniferthompson84@university.com,100068
davidlee85@university.com,100036
davidlee85@university.com,100017
davidlee85@university.com,100065
davidlee85@university.com,100051
davidlee85@university.com,100072
davidlee85@university.com,100042
johnmiller86@university.com,100089
johnmiller86@university.com,100040
johnmiller86@university.com,100092
johnmiller86@university.com,100050
kevinwalker87@university.com,100090
kevinwalker87@university.com,100074
kevinwalker87@university.com,100006
kevinwalker87@university.com,100027
kevinwalker87@university.com,100098
kevinwalker87@university.com,100002
kevinwalker87@university.com,100037
kevinwalker87@university.com,100047
sarahlewis88@university.com,100087
sarahlewis88@university.com,100029
sarahlewis88@university.com,100017
sarahlewis88@university.com,100057
sarahlewis88@university.com,100049
sarahlewis88@university.com,100097
lindaanderson89@university.com,100087
lindaanderson89@university.com,100054
lindaanderson89@university.com,100084
lindaanderson89@university.com,100045
lindaanderson89@university.com,100067
lindaanderson89@university.com,100041
lindaanderson89@university.com,100081
johnmoore90@university.com,100001
johnmoore90@university.com,100080
johnmoore90@university.com,100038
johnmoore90@university.com,100034
johnmoore90@university.com,100029
kevinjohnson91@university.com,100097
kevinjohnson91@university.com,100049
kevinjohnson91@university.com,100055
kevinjohnson91@university.com,100061
kevinjohnson91@university.com,100060
kevinjohnson91@university.com,100022
kevinjohnson91@university.com,100023
kevinjohnson91@university.com,100050
thomasdavis92@university.com,100083
thomasdavis92@university.com,100062
thomasdavis92@university.com,100074
thomasdavis92@university.com,100002
thomasdavis92@university.com,100060
thomasdavis92@university.com,100024
thomasdavis92@university.com,100061
thomasdavis92@university.com,100081
thomasdavis92@university.com,100004
thomasdavis92@university.com,100018
emilywilson93@university.com,100062
emilywilson93@university.com,100078
emilywilson93@university.com,100021
emilywilson93@university.com,100014
emilywilson93@university.com,100002
emilywilson93@university.com,100027
markjohnson94@university.com,100094
markjohnson94@university.com,100033
markjohnson94@university.com,100017
markjohnson94@university.com,100054
kevinmartin95@university.com,100070
kevinmartin95@university.com,100050
kevinmartin95@university.com,100013
lauramiller96@university.com,100010
lauramiller96@university.com,100082
lauramiller96@university.com,100019
lauramiller96@university.com,100051
davidthompson97@university.com,100092
davidthompson97@university.com,100003
davidthompson97@university.com,100070
davidthompson97@university.com,100019
davidthompson97@university.com,100057
davidthompson97@university.com,100060
davidthompson97@university.com,100043
laurabrown98@university.com,100024
laurabrown98@university.com,100098
laurabrown98@university.com,100060
laurabrown98@university.com,100058
laurabrown98@university.com,100031
roberttaylor99@university.com,100098
roberttaylor99@university.com,100031
roberttaylor99@university.com,100051
